Datum,Bis,Ort,Details,Organisator,Web
25. Jun 2024 (Di),,"Rathaussaal Efringen-Kirchen, 19 Uhr",Kampagne zur Wärmewende: Modul 3 – Infoveranstaltung: Effiziente und klimafreundliche Heiztechniken: Anforderungen – Förderprogramme – neutrale Beratung,Gemeindeverwaltung Efringen-Kirchen mit der Energieagentur Südwest GmbH,
30. Jun 2024 (So),,"Ev. Gemeindehaus Efringen-Kirchen, 14:30 Uhr",Begegnungssonntag der ev. Kirchengemeinde,"Ev. Kirchengemeinde Efringen-Kirchen, Istein, Huttingen",
1. Jul 2024 (Mo),,Rathaussaal  Efringen-Kirchen,Kampagne zur Wärmewende: Modul 4 – Infoveranstaltung: Photovoltaik für die Eigenversorgung: Ausgangsbedingung – Standortparameter – Finanzierungsrahmen,Gemeindeverwaltung Efringen-Kirchen mit der Energieagentur Südwest GmbH,
06. Jul 2024 (Sa),,Rathausplatz Efringen-Kirchen ,Flohmarkt,Lebendige Nachbarschaft e.V.,
13. Jul 2024 (Sa),,Rathausplatz Efringen-Kirchen ,Kinderflohmarkt (mit Anmeldung; bei Regen am 20. Juli),Mediathek Efringen-Kirchen,
14. Jul 2024 (So),,Wird noch bekannt gegeben,Abschlußtreffen und Siegerehrung Stadtradeln,Gemeindeverwaltung Efringen-Kirchen,
17. Jul 2024 (Mo),,Ehem. Kindergarten Nik.-Däublin-Weg 10; 16:30 Uhr,Erste Hilfetipps für Senioren (Teil 3),Lebendige Nachbarschaft e.V.,
21. Sep 2024 (Sa),,Ehem. Kindergarten Nik.-Däublin-Weg 10,Begegnungscafe Altes Handwerk,Lebendige Nachbarschaft e.V.,
15. Okt 2024 (Di),,19:30 Uhr,Forum Architektur: Bauen mit Holz und Holzwerkstoffen nimmt eine immer größere Rolle im Baugeschehen ein. Besonders gelungene Beispiele werden durch den Deut- schen Holzbaupreis gewürdigt. - Einer der Preisträger des mit dem Deutschen Holzbau- preis ausgezeichneten Projektes wird dieses detailliert vorstellen. Im Anschluss besteht die Möglichkeit für Fragen und der Diskussion. ,Michael Mann; Aktionsprogramm Agenda 2030,
23. Okt 2024 (Mi),,"Efringen-Kirchen, Schulküche, 19:30 Uhr",Plastikfrei! Wir stellen gemeinsam Mittel für Haushalt und Körperpflege her und wollen Gelegenheit bieten für Austausch und Infos zur weiteren Inspiration. Eventuell entstehen                          Materialgebühren. Anmeldung bis 18.10 an:                                aktionsprogramm_efringen-kirchen@outlook.de,Aktionsprogramm Agenda 2030,
26. Okt 2024 (Sa),,Halle Istein Bring: 10.30 - 12.30 Uhr; Hol: 13.30 - 14.30 Uhr,"Bring und Hol: Gegenstände länger und vielseitiger nutzen  Helferinnen und Helfer sind willkommen und können sich bei Armin Schweizer, armin_schweizer(a)t-online.de melden.",Ortsverein SPD,
15. Nov 2024 (Mi),,Ehem. Kindergarten Nik.-Däublin-Weg 10; 16:30 Uhr,Erste Hilfetipps für Senioren (Teil 4),Lebendige Nachbarschaft e.V.,
23. Nov 2024 (Sa),,Ehem. Kindergarten Nik.-Däublin-Weg 10,Begegnungscafe: Adventsbasteln,Lebendige Nachbarschaft e.V.,
Dez 2024 ,,Rathausplatz Efringen-Kirchen ab 11:00 Uhr,Weihnachtsmarkt,Gemeindeverwaltung Efringen-Kirchen,
