Zeit,Aktion,Organisator,Web
Jederzeit,Fahrradtour durch alle Teilorte der Gemeinde. Anmelden – Freunde finden - Aktionsprogramm Efringen-Kirchen suchen - weitere regionale Touren und Plätze dürfen gerne eingestellt werden,Aktionsprogramm,https://www.komoot.de
Jeden Freitag,Wochenmarkt auf dem Rathausplatz Efringen-Kirchen,Agenda 21 AK Umwelt,
Jederzeit,Schafberg-Panoramaweg: Panorama-Schafberg Wanderung,Agenda 21 AK Umwelt,https://www.outdooractive.com
Jederzeit,"Schaukasten/Schwarzes Brett: Biete, Suche, Tausche …",Initiative Agenda21,
 ,Carsharing – Stadtmobil,,https://www.stadtmobil-suedbaden.de
,Carsharing – my-E-car MG5 Reweparkplatz,,My-e-car.de
,Kleiderkammer – Alter Bahnhof Istein. asylkreis@gmx.de; sachspenden@asylkreis-fürenand,Freundeskreis Asyl Fürenand,
,Bürgerbus: Bürger fahren für Bürger. Kontakt: Montags und Mittwochs 14:30 – 17:00 Uhr unter 07628/806 123,BürgerBus Efringen-Kirchen,https://www.buergerbus-ek.de
Mediathek Efringen-Kirchen,"Sammelbox für alte Handys, Smartphones, Tablets, Netzteile, Ladekabel, Headsets",Nabu,
Jederzeit,Naturlehrpfad; Schnitzeljagd mit der Actionbound-App; Start: Schulhof Efringen-Kirchen,Natur- und Vogelfreunde Efringen-Kirchen,https://actionbound.com/bound/Kinderferienprogramm2021NuvF
Jederzeit,Nistkasten- und Sträucherlehrpfad. Am Feuerbach hinter dem Neubaugebiet Gießenfeld,Natur- und Vogelfreunde Efringen-Kirchen,
Jederzeit,"Bienenlehrpfad: Vogesenblick 24, Efringen-Kirchen",Markgräfler Imkerverein e.V.,
Juni-August,Insektensommer,Nabu,www.nabu.de
,"Gelbes Band an einem Obstbaum: Kostenlos ernten für den Eigenbedarf, ohne Rücksprache  -  Obstbaumbesitzer registrieren ihre Bäume unter Mundraub.org und geben ggf. Hinweise  ",fairNETZt Lörrach,
Jederzeit,Erlebnisweg Steinbruch Kapf 3 km Länge. Start 1: B3 gegenüb. Engemühle 2: Huttingen,Loist,www.loist.com 
Ab Nov,Bachpflegeeinsätze- Mitmachaktion Genauere Informationen stehen ab Ende November auf der Webseite http://www.nuvf.de oder Instagram ,Natur- und Vogelfreunde Efringen-Kirchen,http://www.nuvf.de
"06.04., 08.06., 27.07.",Repaircafe: Am Kesselhaus 9 Weil am Rhein,VHS Weil am Rhein,
"18.04.,16.5.,17.10.,21.11., 19.12. ","Strickstube: Ehemaliger Kindergarten, Efringen-Kirchen",Lebendige Nachbarschaft e.V.,
"5.5.,7.06.,14.07.,20.08.,21.09.,3.10.,17.11.,18.12",„Tausche Dienstleistung“ Monatstreffen und Exkursionen 2024,ZEITBANKplus Efringen-Kirchen e.V.,www.zeitbankplus.de/efringen-kirchen
Jeden 1. Mittwoch Ehemaliger Kiga der Freunde Nikolaus-Däublin-Weg 10; 18:30 Uhr,ust talk English Let's meet for English conversation for everyone who enjoys. Jutta Muska who worked and lived in UK will lead through the evening,Lebendige Nachbarschaft e.V.,
Ehemaliger Kiga der Freunde Nikolaus-Däublin-Weg 10,"Sprachtreffen - Deutschlernen für Geflüchtete, einfach im gemeinsamen Gespräch, egal wo  ",Fürenand e.V.,
9:00 – 11:00 Uhr jeden 1.Samstag im Monat hinter dem Sportplatz  ,Sammeln für die Tafel Dreiländereck Dinge des täglichen Bedarfs werden als Spende angenommen,Ortsverwaltung Istein,
Parkplatz beim TuS Isteiner Straße 20; mittwochs 10 Uhr,"Nordic Walking Dauer ca. 1 Stunde Lockerer Lauftreff, auch für Anfänger",Lebendige Nachbarschaft e.V.,
,QiGong Infos und Anmeldung: Sonja Baumann unter 0175 7576855,Landfrauen Egringen,
,"Kinderturnen wie auch Babymassage Infos und Anmeldung: Lena Blatz 0172 8831739, Miriam Zoller 0174 1666418 ",Landfrauen Egringen,
Istein Neue Straße,Mitfahrbänkle,IME “Istein macht ebbis”,
,Pendlernetz,ADAC,www.pendlernetz.de
