Datum,Bis,Ort,Details,Organisator,Web
13. Mär 2024 (Mi),,"Ehem. Kindergarten Nikolaus-Däublin-Weg 10, 16:30 Uhr",Erste Hilfetipps für Senioren (Teil 2),Lebendige Nachbarschaft e.V.,
13. Mär 2024 (Mi),,Lörrach. Ort: siehe Tagespresse; 18:30 – 20:30 Uhr,Vortrag: Realisierung von PV-Anlagen,Energieagentur Südwest GmbH,
16. Mär 2024 (Sa),,"Rathausplatz Efringen Kirchen, 9-13 Uhr",Kinderflohmarkt. Aussteller bitte anmelden. Bei Regen wird die Veranstaltung auf den 23. März verschoben,Mediathek Efringen-Kirchen,
16. Mär 2024 (Sa),,"Ehem. Kindergarten Nikolaus-Däublin-Weg 10, 16:30 Uhr","Fahrradworkshop. Tipps und Tricks zum Thema Fahrrad-Pflege, - Reparatur und Einstellung",Lebendige Nachbarschaft e.V.,
16. Mär 2024 (Sa),,"Weil am Rhein, Schulhof Leopoldschule","Velobörse für Fahrräder, Kinderanhänger, Roller, Zubehör",IG Velo,
18. Mär 2024 (Mo),,"Wolferhalle in Blansingen, 14 Uhr",Seniorenmittag,Gemeindeverwaltung Efringen-Kirchen,
21. Mär 2024 (Do),,"Ehemaliger Kindergarten, 17-19 Uhr",Strickstube für Jung und Alt. Mit Ruth Hemmer und Andrea Defner,Lebendige Nachbarschaft e.V.,
21. Mär 2024 (Do),,Online,Onlineversteigerung von Fundsachen (Start). Zugang über die Homepage der Gemeinde,Gemeindeverwaltung Efringen-Kirchen,
21. Mär 2024 (Do),,"Vinothek Kaufmann, Basler Str. 46, 19:30 Uhr",Vortrag: Naturnahe Gärten. Vorschläge zur Umgestaltung mit Robert Schönfeld. ,Natur- und Vogelfreunde Efringen-Kirchen e.V.,
17. Apr 2024 (Mi),,Ehem.Kindergarten Nik.-Däublin-Weg 10; 16–18 Uhr,"IT- Café: Schüler*innen der Realschule Efringen-Kirchen helfen Senior*innen bei Fragen zu Internet, Smartphone, Tablet etc.",Lebendige Nachbarschaft e.V.,
19. Apr 2024 (Fr),,"P+R Parkplatz
Für Fahrgemeinschaften
14:30 – 19:30 Uhr",Exkursion nach Eichstetten Thema: „ Das Dorf übernimmt den Generationenvertrag“. Anmeldung bis 22.3 an: marlies.billich(a)t-online.de,ZEITBANKplus Efringen-Kirchen,
27. Apr 1014 (Sa),,"Rathausplatz Efringen-Kirchen
10 -12 Uhr ","Pflanzentauschbörse - Tipps und Erfahrungsaustausch. Bitte Pflanzen und Samen beschriften.
Nur Pflanzenerwerb ist auch mit Spendenkasse möglich",ZEITBANKplus Efringen-Kirchen,
